type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,B1,40,19,16.5,37.512271,126.945745,1,1,0,1,1,1,1,1,1,1,0,0,1,1,위치좋은 노량진 원룸 입니다
OR,2,50,19.8,19,37.512648,126.937245,1,1,0,1,1,1,1,1,1,1,1,0,1,1,리모델링 깔끔하고 이쁜 공간 노량진역 큰대로변 초근접
OR,2,43,15,12,37.510208,126.945892,1,0,0,1,1,1,1,1,1,1,0,0,1,1,정남향으로 채광이 좋습니다
OR,B1,30,15,14,37.508613,126.947413,1,0,0,1,1,1,1,1,1,1,0,0,1,1,고시원가격의 풀옵션원룸
OR,2,37,15,13,37.508769,126.947283,1,0,1,1,1,1,1,1,1,1,1,0,1,1,신축으로 방이크고 방음이 좋은 풀옵션원룸
OR,B1,37,18,16,37.508775,126.94706,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2016년신축한 방음이뛰어난풀옵션원룸
VL,3,45,20,16.24,37.511696,126.955595,1,1,1,1,1,1,1,1,1,1,1,0,1,1,귀한원룸  풀옵션원룸으로  입주협의
OR,2,33,22,15.03,37.501504,126.924261,1,1,0,1,1,1,1,1,1,1,1,0,1,1,더블역세권 대방동 원룸
OR,2,60,20,19,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"방이 아주 크고,  깨끗하며 조용한 원룸"
OR,B1,40,16,14.87,37.500476,126.926728,1,1,0,1,1,1,1,1,1,1,0,0,1,1,실제사진 O｜즉시입주 O｜학교 인근의 조용하고 깨끗한 분리형 원룸
OR,4,38,16,15.87,37.509783,126.945991,1,0,0,1,1,1,1,1,1,1,1,0,1,1,풀옵션 원룸
OR,2,52,23,17.5,37.501142,126.950621,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"중앙대,숭실대 풀옵션 원룸"
OR,1,30,20,19.83,37.501315,126.934875,1,0,0,1,1,1,1,1,1,1,0,0,1,1,장승배기역 도보7분 원룸치고 큰방큰방 보증금조절가능 빨리보세요
OR,2,40,29,18,37.510443,126.945963,1,0,0,1,1,1,1,1,1,1,0,0,1,1,학원가인접한 대로변 치안걱정없는집
DDDGG,1,50,32,29.32,37.510767,126.954717,1,1,1,1,1,1,1,1,1,1,1,0,1,1,노들역5분 방2 내부좋습니다
OR,2,33,22,21,37.501504,126.924261,1,1,0,1,1,1,1,1,1,1,1,0,1,1,위치 컨디션 퀄리티 가격 하나도 빼놓을게 없어요
OR,2,35,14.9,14.9,37.504099,126.948156,1,1,0,1,1,1,1,1,1,1,1,0,1,1,	O 상도역 역세권 깔끔한 풀옵션 원룸
VL,3,50,21,17.18,37.511696,126.955595,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2014년식 풀옵션 원룸 내부좋습니다
OR,3,50,17.18,17,37.511696,126.955595,1,1,1,1,1,1,1,1,1,1,1,0,1,1,풀옵션으로 2013년식 내부좋습니다 빠른입주가능
OR,2,35,20,13.2,37.511765,126.955285,1,1,1,1,1,1,1,1,1,1,0,0,1,1,노들역3분 방1 옵션완벽 저렴한시세
OR,2,42,29,19.8,37.508982,126.945225,1,0,0,1,1,1,1,1,1,1,0,0,1,1,개방감있는 양창원룸 노량진역세권
OR,2,48,18,18,37.510443,126.945963,1,0,0,1,1,1,1,1,1,1,0,0,1,1,노량진.지상층저렴한방.위치좋아안전.편의점인근
