atclNm,flrInfo,rentPrc,spc1,spc2,lat,lng,atclFetrDesc,toilet,station,parking
OR,2,50,29,23.1,37.500102,126.933507,,0,1,0
DDDGG,B1,30,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",1,1,0
OR,B1,42,13,13,37.512428,126.94346,노량진역 도보 3분거리 신축4년차 원룸,0,1,0
DDDGG,1,30,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",1,1,0
OR,3,60,32,20.5,37.500217,126.952386,중대숭실대 오픈형 엘베유 주택가메인도로 위치,1,0,1
DDDGG,3,40,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",1,1,0
DDDGG,1,40,23,14.85,37.511294,126.926343,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천",0,1,0
DDDGG,1,60,46,46.8,37.511026,126.938933,노량진역 초역세권 도보 3분,0,1,0
OR,B1,27,16,16,37.508692,126.947129,깨끗하고 조용한데 가격이 고시텔보다 저렴한 원룸,1,0,1
OR,1,60,23,19.8,37.50547,126.955937,"중앙대 중문 30초거리 깔끔한 원룸, 젠틀 임대인 원하는거 다 들어줌",0,0,1
OR,2,33,15,15,37.511573,126.945076,풀옵션입니다 단기가능합니다,0,1,0
OR,2,50,19,19.8,37.503765,126.935998,7호선 역세권 풀옵션 원룸 무료주차 선착순,1,1,0
OR,2,35,12,12,37.512498,126.946252,가성비굿 위치좋고 컨디션 좋은 리모델링 귀한 매물,0,1,0
OR,B1,45,21,17.19,37.501948,126.950379,2016년 사용승인 잘 관리된 넓고 깔끔한 풀옵션 대로변 편의시설 인접,0,1,0
OR,1,34,29,17.1,37.509222,126.945285,융자없는집. 학원가3분. 가성비좋은방,0,0,0
OR,3,40,16,16,37.504976,126.935138,장승배기역 역세권 엘베있는 초저렴 원룸,0,1,0
OR,1,40,18,18.18,37.503849,126.934701,장승배기역 도보 5분거리 이용 가능 언제 든지 입주협의 가능 밝고환해요,0,1,0
OR,1,45,16,16.53,37.500712,126.934578,"L신대방삼거리역, 장승배기역 도보권 극강 원룸",0,0,1
OR,3,48,20,20,37.511739,126.945052,노량진 학원가 큰 원룸 실6P 내부시설 좋음 빠른입주 가능,0,1,0
OR,1,60,26,19.83,37.503738,126.951926,중앙대5분 남학생전용 신축급컨디션 풀옵션 원룸입니다.,0,0,0
OR,B1,43,84,22,37.509296,126.931714,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고,1,0,0
OR,B1,45,21,17,37.501948,126.950379,상도역 큰대로변 깔끔한 신축급 원룸,0,1,0
OR,1,43,16,4.84,37.508459,126.947545,깔끔한 풀옵션 원룸,1,0,0
OR,4,60,25,20,37.500217,126.952386,융자없고 깔끔수리된 엘베있는 풀옵션 원룸입니다.,1,0,0
OR,B1,38,84,22,37.509296,126.931714,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고,1,0,0
OR,B1,33,14,12,37.511688,126.943687,"공실, 학원가 인근,신축급 깨끗한 풀옵션 원룸",0,1,0
OR,1,37,15,15,37.511523,126.947336,가성비최고 크기좋고 관리잘 된 풀옵션 원룸,1,0,0
OR,2,30,16,16.53,37.501755,126.932957,"L신대방삼거리역, 장승배기역 도보권 극강 원룸",0,1,1
OR,B1,30,29,18.1,37.508848,126.947218,실1층 지상층. 금액좋은방. 학원가7분. 관리잘되는집,0,0,1
OR,2,44,22,12.47,37.508563,126.946556,실제면적 훨씬 넓고 앞이 틔여있어 채광좋고 깨끗한 도시형생활주택,0,0,1
DDDGG,B1,38,84,22,37.509296,126.931714,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고,1,0,0
OR,3,45,16,16,37.508692,126.947129,방크고  깨끗하며 채광좋고 조용한  원룸,1,0,1
OR,B1,43,20,17,37.509296,126.931714,돌침대옵션 리모델링 사이즈좋은 원룸 즉시입주,1,0,0
OR,3,45,18,18,37.504099,126.948156,상도역1분.관리인상주해 안전.채광좋아요.안심대로변,0,1,0
OR,2,43,19,19.84,37.509193,126.931516,따뜻하고 조용한 방,0,0,0
OR,B1,45,33,20,37.501948,126.950379,단기가능.상도역신축원룸. 안전한 대로변. 중대.숭대 통학가능.,0,1,0
OR,1,45,29,18.1,37.508982,126.945225,실2층 베란다있는방. 신축급컨디션. 관리잘되는집. 채광좋은집,0,0,0
OR,3,38,78,13,37.510443,126.945963,종일 햇살이 들어오는 노량진에서 보기 드문  가성비 좋은 정남향 원룸,1,0,0
OR,B1,40,20,19,37.501686,126.927859,대출가능 가성비끝판왕 초저렴신축원룸,0,1,0
OR,B1,40,20,19,37.50259,126.947235,상도역초역세권 보면 바로 계약가능 저렴한 신축분리형,0,1,0
OR,B1,35,33,19.8,37.500551,126.952351,안심대로변 상도역가까운 가성비원룸,1,0,0
OR,B1,50,25,21,37.50259,126.947235,상도역1분.신축넓은분리형.위치좋아안전.집주인거주,0,1,0
OR,B1,45,23,18,37.501511,126.950602,"중앙대,숭실대 깔끔한 반지층 풀옵션 원룸",0,1,1
OR,3,45,20,20,37.506346,126.946436,풀옵션원룸 빠른입주가능,0,1,1
OR,2,45,18,18,37.502288,126.933696,채광좋은 깔끔한 원룸 전세가능 주차가능,0,1,0
OR,2,40,19,17,37.509329,126.931514,"집앞이 마을버스 정류장, 월세가 저렴한 집,",0,0,1
